address,albers_x,albers_y,admin_id,nearest_facility,coord_x,coord_y,drv_time_sec,drv_time_hrs,drv_dist,tag
"1015 W 16TH AV, VANCOUVER, BC",1209197,475455,1234,L'Ecole Bilingue Elementary,1209026,475541,35.31076961265718,00:00:35,0.301,schools
"1015 W 8TH AV, VANCOUVER, BC",1209240,476270,1234,L'Ecole Bilingue Elementary,1209026,475541,122.83082998787938,00:02:02,1.053,schools
"1016 E 11TH AV, VANCOUVER, BC",1212476,475933,1234,Florence Nightingale StrongStart Centre,1211687,475869,94.00422220789311,00:01:34,0.84,schools
"1016 E 14TH AV, VANCOUVER, BC",1212483,475628,1234,Charles Dickens Elementary,1212535,475325,112.74624537143332,00:01:52,0.555,schools
"1016 E 16TH AV, VANCOUVER, BC",1212473,475457,1234,Charles Dickens Elementary,1212535,475325,78.33619451566584,00:01:18,0.37,schools
"1016 E 18TH AV, VANCOUVER, BC",1212488,475259,1234,Charles Dickens Elementary,1212535,475325,90.27788489537551,00:01:30,0.437,schools
"1016 E 7TH AV, VANCOUVER, BC",1212464,476340,1234,Mount Pleasant StrongStart Centre,1211649,476302,137.04035047792152,00:02:17,0.866,schools
"1016 E 8TH AV, VANCOUVER, BC",1212461,476240,1234,Mount Pleasant StrongStart Centre,1211649,476302,134.97212144228033,00:02:14,0.968,schools
"1016 E PENDER ST, VANCOUVER, BC",1212451,478096,1234,Admiral Seymour StrongStart Centre,1212578,477967,56.03234612915652,00:00:56,0.238,schools
"1016 W 12TH AV, VANCOUVER, BC",1209249,475796,1234,L'Ecole Bilingue Elementary,1209026,475541,104.08854690159623,00:01:44,0.482,schools
"1016 W 13TH AV, VANCOUVER, BC",1209250,475694,1234,L'Ecole Bilingue Elementary,1209026,475541,94.23662274852123,00:01:34,0.382,schools
"1017 E 10TH AV, VANCOUVER, BC",1212469,476086,1234,Florence Nightingale StrongStart Centre,1211687,475869,149.7861113700307,00:02:29,1.249,schools
"1017 E 13TH AV, VANCOUVER, BC",1212480,475786,1234,Florence Nightingale StrongStart Centre,1211687,475869,128.5898103711433,00:02:08,1.048,schools
"1017 E 33RD AV, VANCOUVER, BC",1212498,473725,1234,Sir Richard McBride Annex,1212408,473884,70.52775448685641,00:01:10,0.436,schools
"1017 E GEORGIA ST, VANCOUVER, BC",1212459,477953,1234,Admiral Seymour StrongStart Centre,1212578,477967,61.7614276964931,00:01:01,0.235,schools
"1017 KEEFER ST, VANCOUVER, BC",1212462,478053,1234,Admiral Seymour StrongStart Centre,1212578,477967,22.07348420586137,00:00:22,0.133,schools
"1017 W 7TH AV, VANCOUVER, BC",1209227,476362,1234,L'Ecole Bilingue Elementary,1209026,475541,133.21810038195778,00:02:13,1.155,schools
"1018 E 31ST AV, VANCOUVER, BC",1212488,473925,1234,Sir Richard McBride Annex,1212408,473884,66.4028211873163,00:01:06,0.277,schools
"1018 E 39TH AV, VANCOUVER, BC",1212481,473051,1234,Sir Alexander Mackenzie Elementary,1212313,473057,54.28545718351087,00:00:54,0.219,schools
"1018 GRANVILLE ST, VANCOUVER, BC",1209470,477870,1234,Anchor Point Montessori,1208902,477646,161.16810559753353,00:02:41,0.958,schools
"1018 GRANVILLE ST, VANCOUVER, BC",1209465,477864,1234,Anchor Point Montessori,1208902,477646,161.16810559753353,00:02:41,0.958,schools
"1018 W 16TH AV, VANCOUVER, BC",1209231,475401,1234,L'Ecole Bilingue Elementary,1209026,475541,40.5011911450097,00:00:40,0.31,schools
"1019 BROUGHTON ST, VANCOUVER, BC",1208661,478593,1234,Lord Roberts Elementary,1208355,478705,89.66749336852635,00:01:29,0.515,schools
"1019 BUTE ST, VANCOUVER, BC",1208891,478397,1234,Lord Roberts Annex,1208956,478319,91.00420767458495,00:01:31,0.478,schools
"1019 E 38TH AV, VANCOUVER, BC",1212486,473211,1234,Sir Alexander Mackenzie Elementary,1212313,473057,111.53627970670253,00:01:51,0.587,schools
"1019 E 39TH AV, VANCOUVER, BC",1212488,473112,1234,Sir Alexander Mackenzie Elementary,1212313,473057,107.93367820177208,00:01:47,0.485,schools
"1019 E 40TH AV, VANCOUVER, BC",1212492,473007,1234,Sir Alexander Mackenzie Elementary,1212313,473057,111.12332686880747,00:01:51,0.48,schools
"1019 GILFORD ST, VANCOUVER, BC",1208111,479086,1234,King George Secondary,1208443,479047,122.56977445717234,00:02:02,0.817,schools
"1019 NANTON AV, VANCOUVER, BC",1209247,474259,1234,Vancouver Talmud Torah Elementary,1209333,474385,61.034846887426525,00:01:01,0.218,schools
"1019 SEYMOUR ST, VANCOUVER, BC",1209488,477828,1234,Pattison High School,1209307,478110,137.47162298561688,00:02:17,0.893,schools
"1019 W 8TH AV, VANCOUVER, BC",1209222,476269,1234,L'Ecole Bilingue Elementary,1209026,475541,158.09400293538633,00:02:38,0.933,schools
"102 MAIN ST, VANCOUVER, BC",1211187,478492,1234,Crosstown Elementary,1210665,477892,134.74903431576195,00:02:14,1.193,schools
"102 W 17TH AV, VANCOUVER, BC",1210710,475313,1234,Simon Fraser Elementary,1210646,475505,94.8459893179702,00:01:34,0.693,schools
"102 W 18TH AV, VANCOUVER, BC",1210712,475205,1234,Simon Fraser Elementary,1210646,475505,98.51412232572658,00:01:38,0.806,schools
"102 W 19TH AV, VANCOUVER, BC",1210713,475103,1234,Simon Fraser Elementary,1210646,475505,123.35856742353506,00:02:03,0.931,schools
"102 W 20TH AV, VANCOUVER, BC",1210715,474992,1234,General Wolfe Elementary,1210854,474408,119.13297513569258,00:01:59,0.77,schools
"102 W 21ST AV, VANCOUVER, BC",1210715,474894,1234,General Wolfe Elementary,1210854,474408,109.84910920781839,00:01:49,0.672,schools
"102 W 22ND AV, VANCOUVER, BC",1210717,474789,1234,General Wolfe Elementary,1210854,474408,89.87152072975373,00:01:29,0.567,schools
"102 W 23RD AV, VANCOUVER, BC",1210720,474674,1234,General Wolfe Elementary,1210854,474408,78.99075220745074,00:01:18,0.452,schools
"102 W 40TH AV, VANCOUVER, BC",1210740,472979,1234,Sir Wm Van Horne Elementary,1210881,472668,88.12217091841657,00:01:28,0.587,schools
"102 W BROADWAY, VANCOUVER, BC",1210700,476129,1234,St Patrick Regional Secondary,1211034,475992,102.20074921012605,00:01:42,0.708,schools
"102 WATER ST, VANCOUVER, BC",1210630,478448,1234,Crosstown Elementary,1210665,477892,106.69410068862129,00:01:46,0.874,schools
"1020 CHILCO ST, VANCOUVER, BC",1208031,479127,1234,King George Secondary,1208443,479047,103.62136654214328,00:01:43,0.689,schools
"1020 E 10TH AV, VANCOUVER, BC",1212471,476029,1234,Florence Nightingale StrongStart Centre,1211687,475869,105.91324141038577,00:01:45,0.938,schools
"1020 E 12TH AV, VANCOUVER, BC",1212478,475829,1234,Florence Nightingale StrongStart Centre,1211687,475869,94.18197996613172,00:01:34,0.841,schools
"1020 E 14TH AV, VANCOUVER, BC",1212490,475628,1234,Charles Dickens Elementary,1212535,475325,115.03664448221632,00:01:55,0.562,schools
"1020 E 33RD AV, VANCOUVER, BC",1212477,473671,1234,Sir Richard McBride Annex,1212408,473884,90.92703649656796,00:01:30,0.619,schools
"1020 E 37TH AV, VANCOUVER, BC",1212483,473255,1234,Sir Alexander Mackenzie Elementary,1212313,473057,63.633922727670225,00:01:03,0.33,schools
"1020 E 38TH AV, VANCOUVER, BC",1212486,473154,1234,Sir Alexander Mackenzie Elementary,1212313,473057,54.19761379456733,00:00:54,0.229,schools
