address,albers_x,albers_y,nearest_facility,coord_x,coord_y,drv_time_sec,drv_time_hrs,drv_dist,tag
"1004 DOUGLAS CRESCENT, VANCOUVER, BC",1209235,475123,L'Ecole Bilingue Elementary,1209026,475541,66.82836778162667,00:01:06,0.588,schools
"1004 E 10TH AV, VANCOUVER, BC",1212453,476031,Florence Nightingale StrongStart Centre,1211687,475869,107.63551538859186,00:01:47,0.975,schools
"1004 E 11TH AV, VANCOUVER, BC",1212455,475934,Florence Nightingale StrongStart Centre,1211687,475869,108.08395488242962,00:01:48,0.874,schools
"1004 E 33RD AV, VANCOUVER, BC",1212456,473670,Sir Richard McBride Annex,1212408,473884,76.62408184148914,00:01:16,0.566,schools
"1004 E 37TH AV, VANCOUVER, BC",1212464,473255,Sir Alexander Mackenzie Elementary,1212313,473057,92.6952288269577,00:01:32,0.691,schools
"1004 W 11TH AV, VANCOUVER, BC",1209261,475902,L'Ecole Bilingue Elementary,1209026,475541,129.10506971977708,00:02:09,0.6,schools
"1004 W 11TH AV, VANCOUVER, BC",1209255,475898,L'Ecole Bilingue Elementary,1209026,475541,129.10506971977708,00:02:09,0.6,schools
"1004 W 33RD AV, VANCOUVER, BC",1209265,473669,Vancouver Talmud Torah Elementary,1209333,474385,142.99572765875993,00:02:22,1.042,schools
"1004 W BROADWAY, VANCOUVER, BC",1209252,476109,L'Ecole Bilingue Elementary,1209026,475541,158.68943041235403,00:02:38,0.804,schools
"1004 WOLFE AV, VANCOUVER, BC",1209233,474923,Westside Montessori,1209243,474492,81.22634806175952,00:01:21,0.627,schools
"1005 BEACH AV, VANCOUVER, BC",1208674,477620,Anchor Point Montessori,1208902,477646,73.77666533847504,00:01:13,0.472,schools
"1005 BROUGHTON ST, VANCOUVER, BC",1208671,478607,Lord Roberts Annex,1208956,478319,66.53662012289209,00:01:06,0.405,schools
"1005 E 15TH AV, VANCOUVER, BC",1212467,475582,Florence Nightingale StrongStart Centre,1211687,475869,109.33177785999142,00:01:49,1.033,schools
"1005 E 17TH AV, VANCOUVER, BC",1212457,475413,Charles Dickens Elementary,1212535,475325,78.63189597288668,00:01:18,0.461,schools
"1005 E 21ST AV, VANCOUVER, BC",1212464,475011,Charles Dickens Elementary,1212535,475325,79.75122682314208,00:01:19,0.588,schools
"1005 E 22ND AV, VANCOUVER, BC",1212464,474905,Charles Dickens Elementary,1212535,475325,99.84686786982844,00:01:39,0.695,schools
"1005 E 40TH AV, VANCOUVER, BC",1212470,473006,Sir Alexander Mackenzie Elementary,1212313,473057,48.527300602315435,00:00:48,0.217,schools
"1005 E BROADWAY, VANCOUVER, BC",1212456,476197,Mount Pleasant StrongStart Centre,1211649,476302,126.14845607813798,00:02:06,0.851,schools
"1005 E BROADWAY, VANCOUVER, BC",1212446,476197,Mount Pleasant StrongStart Centre,1211649,476302,126.14845607813798,00:02:06,0.851,schools
"1005 E KING EDWARD AV, VANCOUVER, BC",1212471,474645,Charles Dickens Annex,1212533,474809,67.3780616166853,00:01:07,0.27,schools
"1005 GRANVILLE ST, VANCOUVER, BC",1209424,477911,Pattison High School,1209307,478110,112.12061402400315,00:01:52,0.726,schools
"1005 GRANVILLE ST, VANCOUVER, BC",1209418,477905,Pattison High School,1209307,478110,112.12061402400315,00:01:52,0.726,schools
"1005 GRANVILLE ST, VANCOUVER, BC",1209434,477922,Pattison High School,1209307,478110,112.12061402400315,00:01:52,0.726,schools
"1005 GRANVILLE ST, VANCOUVER, BC",1209429,477917,Pattison High School,1209307,478110,112.12061402400315,00:01:52,0.726,schools
"1005 JERVIS ST, VANCOUVER, BC",1208755,478519,Lord Roberts Elementary,1208355,478705,100.73555151373999,00:01:40,0.632,schools
"1005 STATION ST, VANCOUVER, BC",1211196,477586,Crosstown Elementary,1210665,477892,137.3170953559896,00:02:17,1.173,schools
"1005 W 7TH AV, VANCOUVER, BC",1209241,476362,L'Ecole Bilingue Elementary,1209026,475541,116.97089884641434,00:01:56,1.141,schools
"1006 E 18TH AV, VANCOUVER, BC",1212475,475266,Charles Dickens Elementary,1212535,475325,83.83585588281227,00:01:23,0.491,schools
"1006 W 12TH AV, VANCOUVER, BC",1209264,475796,L'Ecole Bilingue Elementary,1209026,475541,49.42336212086782,00:00:49,0.523,schools
"1006 W 37TH AV, VANCOUVER, BC",1209265,473197,King David High School,1209691,472828,125.26366306875795,00:02:05,0.995,schools
"1007 E 12TH AV, VANCOUVER, BC",1212465,475885,Florence Nightingale StrongStart Centre,1211687,475869,112.75515912292204,00:01:52,0.923,schools
"1007 W 26TH AV, VANCOUVER, BC",1209243,474462,Westside Montessori,1209243,474492,18.832156706978218,00:00:18,0.071,schools
"1008 CAMBIE ST, VANCOUVER, BC",1209866,477463,Elsie Roy Elementary,1209538,477136,68.82835883688811,00:01:08,0.61,schools
"1008 CONNAUGHT DRIVE, VANCOUVER, BC",1209251,473911,Vancouver Talmud Torah Elementary,1209333,474385,69.25397254466777,00:01:09,0.531,schools
"1008 E 14TH AV, VANCOUVER, BC",1212472,475628,Charles Dickens Elementary,1212535,475325,109.14704676878505,00:01:49,0.544,schools
"1008 E 22ND AV, VANCOUVER, BC",1212465,474859,Charles Dickens Annex,1212533,474809,88.00951876507494,00:01:28,0.541,schools
"1008 E 24TH AV, VANCOUVER, BC",1212479,474665,Charles Dickens Annex,1212533,474809,123.14168682344007,00:02:03,0.608,schools
